,criteria,labels
256,Own disease treatment program,1
257,We don't offer medical services as this is already covered by government,0
258,Offer access to private clinics,1
259,Acces to nutritionists,1
260,Yearly training on health and nutrition,1
261,All employees access to gym membership,1
262,On-site gym,1
263,We have sports teams,1
264,Weekly corporate exercise sessions,1
265,High participation in health training program,1
266,High training rate,1
267,Low particpation on health training,2
268,Workers partcipate in training session every month,1
269,Consultans assess the need for health training,1
270,Comittee evaluates need for safety training,1
271,Joint employee maangement committee evaluates training needs,1
272,High safety focus,1
273,Overview over participation on safety training,0
274,Training conducted outside working hours,2
275,Workers must pay for training,2
276,Training mandatory outside working hours,2
277,Consultants design training program,1
278,Worker parctipation occupational health,1
279,Employees evaluate occopuational health,1
280,Results from health study,1
281,Formal joint management-worker health and safety committees,1
282,Formal participation from employees in health issues does not exist,2
283,Formal partcipation opportunity for employees,1
284,Tight copperations with trade unions,1
285,Stoppe cooperating with trade unions,2
286,Plan for removing barrier for employee partcipation,1
287,High barriers for employee participation identified,2
288,Large obstacles for employee involvement,2
289,Scoring high in health metric,1
290,Good scoring occupational health metrics,1
291,No metrics,2
292,No occupational health metrics,2
293,Focus group for hazard management,1
294,Large hazards and risks encountered,1
295,Risk assessed on a routine basis,1
296,No risk assesment made,2
297,We use an old risk assesment,2
298,Whisteblower system,1
299,Anonymous reporting of risk,1
300,Workers are protected against reprisals,1
301,Workers free to remove themselves from risk situations,1
302,No repraisals for telling on safety,1
303,Group focused on investigating work-related incidents,1
304, Mandatory safety training,1
305,Safety training program all employees,1
306,Safety training offered in local language,1
307,We implemented safety management system,1
308,We have implemented occupational health system,1
309,Will implement health system,1
310,Will implements safety system,1
311,Continouse improvement of our safety management system,1
312,No safety management system,2
313,Safety management system,1
314,Occupational health,1
315,Parental leave are offered for all employees,1
316,All have access to parental leave,1
317,Parental leave is encouraged,1
318,High return to work rate parental leave,1
319,Strong retention rate parental leave,1
320,Parental leave rates,0
321,We offer life insurance to all employees,1
322,Free healthcare for all,1
323,Healthcare is offered on site,1
324,We have no insurance policy,2
325,No healthcare on site,2
326,Workplace is optimized for disability,1
327,We work with NGO to hire disablitiy employees,1
328,We have our own pension provision,1
329,Employees are offered pension fund,1
330,Employees are given stock options,1
331,Employees can buy stock,1
332,Employees do not receive stock option,2
333,Parental leave is not offered,2
334,We have strong parental leave conditions,1
335,Parental leave for all employees,1
336,Parental leave for men,1
337,Information on parental leave,0
338,Our workforce policy:,0
339,We are growing fast and hiring new people,1
340,"All our employees are provided right to insurance, health care and parental leave",1
341,We give our employees parental leave,1
342,"Disclosure 403-1 requires the reporting organization to list any legal requirements it has
followed in implementing the occupational health and safety management system. ",0
343,This helps ensuring a thourogh risk assesment,1
344,Health services are offered in all our locations,1
345,There will be started a managment-worker health and safety comitee,1
346,The working training is specific for each employee,1
347,Worker health is a main priority,1
348,Preventing occupational health and safety impact is a main focus,1
349,All workers in our company and also external companies working on the same project follow the same standardized rules for helath and safety,1
350,We have had no work-related injuries the last year,1
351,We had a decreasing number of cases of work-related ill health ,1
352,Training our people is a main pritoty,1
353,Internal training courses is a main priority for us in Facebook,1
354,All our employees recieve performance and career develoment reviews on a regular basis,1
355,"Regardless of race, gender, age and sexuality",1
356,The ratio of basic salary of women to men has been improved over the last five years,1
357,The number of reported discrimination incidents is reduced by 30% in the period,1
358,Some of our suppliers are operating in areas were the right to freedom is at risk,2
359,Child labor will under no circumstances be related to our work,1
360,Health and safety are the main pillars throughout the organization,1
361,"Percentage of security personnel who have received formal training in the
organization’s human rights policies or specific procedures and their application to
security",0
362,We are cooperating closely with the indigenous people in the area,1
363,We are actively working to ensure good communication with the local community,1
364,The location of the project is decided together with the local community,1
365,We have a thorough process screening our suppliers and contractors,1
366,It is important for us that the whole supply chain minimize the negative social impact,1
367,We are fighting corruption,1
368,All products are certified,1
369,incidents of non-compliance with voluntary codes.,0
370,The labeling of all products follow the local directions and guidelines,1
371,All labeling are following the local standards,1
372,All market communications are following local regulations and laws,1
373,Customer data privacy is prioritized,1
374,Here are some information about our employee turnover.,0
375,"Data reported under this disclosure provide a measure of an organization’s investment in
human resources and the minimum benefits it offers its full-time employees. ",0
376,The number of employees with parental leave have been stable the last year,0
377,There health and safety program has been improved ,1
378,The workers are actively contributing to the risk assesment  ,1
379,There has been a decrease in our health service due to reduced use of the service ,2
380,The safety topics are covered in local or global formal agreements with trade unions,0
381, The program is delievered in a language easily understood by the employee,1
382,The health of our employees is higly prioritized,1
383,We experienced an increase in health and safety impacts linked by our business relationship,2
384,We ensure that we integrate our standards accordingly with our partnering companies,1
385,We had a reduction of injuries,1
386,The number of health related injuries are significantly higher in this department,2
387,We have the last year increased the hours of training for our employees,1
388,We pay our employees to incentivize our employees to take external education,1
389,We have experienced a decrease in the number of employees taking part in the career development reviews we are offering,2
390,We are working to improve our gender balance,1
391,The women to men ration of basic salary has improved the last year,1
392, We have experienced an increase in reported discriminating incidents,2
393,We are actively assessing that employees among our surpliers not are at risk,1
394,We have experienced situations with child labor among our employees,2
395,We have increased the health and safety focus ,1
396,Human rights policies are an important aspect in the training of security personnel,1
397,We have increased our number of operations on land owned by native people,2
398,There have been several incidents concerning negative impacts in the local community,2
399,An increasing amount of incidents with complaints from the local community has been reported,2
400,Percentage of new suppliers that were screened using social criteria,0
401,This led to negative social impacts ,2
402,We seek to minimize our political risks,1
403,We have had an increase in the reported health and safety impacts regarding our products,2
404,an increased amount of product related complaints from the customers,2
405,"All products are marked with the ""safe to use"" labeling",1
406,The last year we have increased the focus on internal training,1
407,No loss of customer data has been reported,2
408,We completed a large layoff round,2
409,Free meales are offered in all our locations,1
410,The number of employees taking parental leave has increased,1
411," The system has been implemented based on recognized risk management and
management system standards of Usstandards",0
412,The incident investigation process has been assesed and improved,1
413,Our employeers health is main priority and therfore organized through a comprehensive health service,1
414,In case of accidents a health and safety comitee is appointed including managment and workeres,1
415,The training program has to be paid by each employee,2
416,Workers health data is kept confidental,1
417,We have increased the focus on mitigating health and safety impacts,1
418,We had an increase in work-related injuries,2
419,There is implemented measures to mitigate the work-related ill health,1
420,We offer paid educational training to all our employees,1
421,We have the last year not offered external training to our employees,2
422,"This disclosure measures the extent to which an organization regularly appraises employee
performance",0
423,Equal opportunities for all employees ,1
424,We ensure that salary and remuneration is determined is assesed in an objective and non-disriminating way,1
425,"By discriminating we mean unequal treatment on grounds of race,
color, sex, religion, political opinion, national extraction, or social origin as
defined by the ILO, or other relevant forms of discrimination involving
internal and/or external stakeholders across operations in the reporting
period",0
426,We are only operating in areas were peoples right to freedom is protected,1
427,We avoid suppliers from areas with increased risk of child labor,1
428,We are not reporting the health and safety measures of our suppliers,2
429,We are training our security personnel according to the standards from UN's human rights,1
430,"We are compensating the indigenous people in the areas we are operating
the Rights of Indigenous Peoples",1
431,We are always involving the local community in an early stage of the process,1
432,Communcation with the local community is one of our main priorities,1
433,We have decided to start screening our suppliers using social criterias,1
434,No negative impact was reported in the supply chain,1
435,All our operations are performed according to local rules,1
436,"Percentage of significant product and service categories for which health and safety
impacts are assessed for improvement",0
437,There were not registred any non-compliance,1
438,We have had trouble in some countries due to wrong labeling,2
439,"We hire regardless of age, gender and religion",1
440,Due to increased financial pressure we had to reduce the welfare program budget with 50 % in 2018,2
441,Of the people taking parental leave only 50% were employed 12 months after,2
442,The health and safety managment system has not been reviewed ,2
443,The incident investigation is based on thhe methodology from the GRI standards,0
444,We are providing health service through an external institution,0
445,The health and safety program is standardized and introduced on all levels of the organization,1
446,The worker training is free and during paid working hours,1
447,"To ensure workers health all workers are offered on-occupational
medical and healthcare services ",1
448,We have introduced routines and methods to prevent hazards in al parts of out organization,1
449,We had a reduction of work-related injuries of 10%,1
450,"Work-related ill health can include acute, recurring, and chronic health problems caused or
aggravated by work conditions or practices",0
451,The average hours of training per employee is reduced the last year,2
452,This external training program is named IMPROVE 2022,0
453,Career development is delievered to people in management only,2
454,We have experienced under representation of women in this part of the organization,2
455,This measure is called the ratio of basic salary,0
456,There has not been reported any cases of dicrimination in the organization the last period,1
457,We have taken measures to imrove and support the rights of people working for our suppliers,1
458,We have taken measures to avoid child labor,1
459,There has been taken several measures to improve the health and safety situation among suppliers,1
460,"Total number of identified incidents of violations involving the rights of indigenous people
peoples during the reporting period",0
461,The expantion is assessed together with the local community,1
462,We have focused in reducing our footprint and impact on local communities,1
463,All our suppliers are certified after the social criteria standards,1
464,96% of our suppliers could prove that they not contributed negative to the society,1
465,We are aware of potential negative social impacts in the supply chain,1
466,We asses health and safety impacts for all our products,1
467,Our products follow the local standards for health and safety,1
468,All products are labeled with the social impact of the product,1
469,We have increased the number of woman in our company,1
470,Especially among woman the numbers of employees returning to work has decreased,2
471,The reporting is according to the H&S standards,0
472,The system for risk reporting is continuously assesed and updated,1
473,We are providing free health service to all our employees,1
474,There is worker's representatives in all comitees ,1
475,The worker traning is considered to be highly effective,1
476,"Ensuring healthy lives and promoting wellbeing for all at all ages is one of the UN Sustainable
Development Goals",0
477,The health and safety program has been shut down due to restructuring the company,2
478,We had no significant change in work-related injuries,2
479,"This is reported as ""average hours of training per employee""",0
480,The need for external training and education is increased,0
481,The workers are encouraged to actively participating in determining the standards,1
482,There are fewer women than we aim to have in leading positions in the company,1
483,We see a skewness in the remuneration for men and women in our company,2
484,We have implemented plans to minimize the chance for discrimation,1
485,We have experienced that employees working for our suppliers are at risk,2
486,We are regularily controlling our suppliers ensuring that no child labor take place,1
487,Ensure health and safety measures throughout the supply chain,1
488,There has not been reported any incidents involving indigenous people,1
489,sosioeconimic development is important,1
490,Suppliers are socially sustainable,1
491,"All products is certified after the standard, proving that they are socially sustainable",1
492,the significant actual and potential negative social impact,0
493,We have standardized the labeling,1
494,The turnover rate have increased,2
495,There is a clear predominance of woman taking parental leave,2
496,The health and safety system is implemented according to the rules,1
497,"All risks, hazards and incidents are reported and assessed",1
498,The workers can use the health service freely within the working hours,1
499,The training is designed according to the GRI standards,0
500,"We offer smoking cessation programs, dietry advice and offer healthy food in the canteen",1
501,In connction with the merger we had removed our health and safety deparment,2
502,The injuries are classified after severity,0
503,Our training program is modernized and improved,1
504,The new programs intention is to ease the transition from work to retirement for our employees,1
505,"Regular performance and career development reviews can also enhance employee
satisfaction, which correlates with improved organizational performance ",0
506,We do not discriminate in any part of our organization,1
507,We work to ensure fair salary in every location and part of the organization,1
508,Corrective actions against discrimination is implemented in the training program for all employees,1
509,We respect the employees right across the organization,1
510,Children's rights is important,1
511,We have improved our routines for operating in areas with indigenous people ,1
512,We are a major employer in the local community,1
513,We have suppliers not following the ethical standard,2
514,None of our suppliers should contribute with negative social impacts,1
515,We are open about all political contributions where the company is involved,1
516,This is reffered to as employee turnover,0
517,"Employees entitled to parental leave means those employees that are covered by organizational
policies, agreements or contracts that contain parental leave entitlements",0
518,The health and safety system includes the organization all other related entities,1
519,All our canteen are focusing on offering healthy food,1
520,The health service offer is offered throughout the organization,1
521,The frequncy of the training has increased the last year,1
522,All our canteen are focusing on offering healthy food,1
523,We have decided to establish a helth and safety department to increase the focus ,1
524,We had one fatality in 2019,2
525,We offer individualized training program for all our employees,1
526,Employee training programs that aim to upgrade skills can include ,0
527,We are closely monitoring and ensuring that we maintain the skill sets of our employees,1
528,We have a minimum requirement of 40% of women among the board of directors,1
529,We do not offer equal opportunities based on gender,1
530,We do not tolerate discrimanation in any form in our company,1
531,"When reporting the measures taken, the organization can refer to the ILO ‘Tripartite Declaration
of Principles Concerning Multinational Enterprises and Social Policy’ and Organisation for
Economic Co-operation and Development (OECD) ",0
532,The product is certified and guranteed to not been part of child labor ,1
533,We have experienced several incidents were indigenous people have been involved,2
534,Resulting in negative impacts locally,2
535,We are closely monitoring our suppliers to  ensure that no negative social impacts taking place,1
536,The worker training is mandatory for all employees,1
537,No injuries or hazards were reported in the organization the last year,1
538,There were no fatalities or serious injuries in the first quartal,1
539,This is part of our training program,0
540,Delievering pre-retirement planning for the employees,1
541,Career development reviews are something we offer to all our employees,1
542,We ensure diversity including minorities and vulnerable groups,1
543,We aim for promoting diversity in every part of the organization ,1
544,We have opened a reporting system to make it easier to report unwanted situation related to discrimination,1
545,Some of our suppliers are operating in areas considered at risk,2
546,This has unfortunately increased the impact in the area,2
547,The training is customized for the different departments of the organization,1
548,The mitigation of health and safety impacts include both physical measures and improved training focus,1
549,After implementing these routines we have experienced a decrease in serious injuries,1
550,The average training hours for male employees are much larger than the similar number for female employees,2
551,We have a underrepresentation of the age group over 50 years,2
552,We have seen an increase in the reported unwanted incidents,2
553,We are actively working to ensure the right to freedom for all employees ,1
554,Workeres are compensated for the hours used following the worker training,1
555,Helath and safety are main focus in the initial training program for all employees,1
556,We ensure that health and safety measures are implemented throughout the entire value chain ,1
557,We are using external facilitators for our training program,0
558,We are paying our employees equally regardless of gender,1
559,We have standardized procedures to handle cases related to discrimination,1
560,This includes offering all employees instructions and training,1
561,We are working to improve our gender balance,1
562,We have launched an anti discrimination campaign in our company,1
563,Social strengthening discussion group,1
564,All employees receive insurance,1
565,Allow employees to take leave,1
566,We have identified a potential danger,1
567,High focus on occupational health problems,1
568,Participation of health workers,1
569,Workers' training program implemented,1
570,"Workers access to a non -professional medical service 
  Medical and health services",1
571,Employee comments on social,1
572,No work -related injury,1
573,No bad health related to work,1
574,High average training hours by employee,1
575,Skills upgrading programs,1
576,Frequent feedback session,1
577,High focus on various hires,1
578,We are having an equal salary,1
579,There was no discrimination report on the workplace,1
580,We have cut bonds with all operations where freedom of association is limited,1
581,No operation or suppliers use children's work,1
582,Security personnel are trained in human rights policies,1
583,We have no violation with regard to Aboriginal peoples,1
584,We are in close communication with local communities in cases concerning them,1
585,None of our operations have potential negative impacts on local communities,1
586,All our suppliers are projected on social criteria,1
587,All our political gifts are open,1
588,There have been security incidents with our products,2
589,All our products have extensive labeling,1
590,We have no non-compliance incident,1
591,We have no index of non-compliance with marketing,1
592,No program concerning the violations of customer confidentiality,1
593,We attracted a more diverse workforce,1
594,We had trouble hiring various this year,2
595,Percentage of higher women of total workforce,1
596,Turnover,2
597,Dismissal tours had to be completed due to cost savings,2
598,Growth in the number of employees,1
599,See attached our overview of new recruits,0
600,The table shows the distribution of new hires on sex,0
601,We have lost customer data under a hacking attack,2
602,Customer data has been lost,2
603,Customer confidentiality has been raped,2
604,We have implemented new procedures on data management,1
605,We have implemented the GDPR,1
606,No customer data loss,1
607,We prioritize the confidentiality of customers,1
608,We were hacked,2
609,We have received legal problems due to marketing,2
610,We have not expressed due to marketing,1
611,Our marketing follows compliance,1
612,Our marketing follows rules and laws,1
613,No marketing has been reported due to depression,1
614,We have no non-compliance index concerning information on products and services,1
615,Our labeling respects all the rules of conformity,1
616,We had a problem with non -compliant labeling,2
617,Labeling problems are treated,1
618,We offer detailed labeling of product ingredients,1
619,Our products are labeled extensively,1
620,All ingredients are on the packaging of our products,1
621,All products that can cause damage necessarily have labeled warnings,1
622,Our product labeling contains product sources,1
623,We have no procedure to label our products,2
624,The products are delivered with instructions on the safe layout,1
625,Products are delivered with safety warnings,1
626,Products do not come with health warnings,1
627,We do not label all the ingredients,1
628,We do not drop all the products,1
629,No incidents caused by the health and safety impacts of our products,1
630,We have no product safety problems,1
631,There was no security problem with our services,1
632,We have encountered health and safety problems with our product.,2
633,Our products and services are examined for a negative impact,1
634,Our products are assessed for possible negative impacts,1
635,Our services are examined for negative impacts,1
636,There are no screening mechanisms to determine the impacts of our products,2
637,We select our continuous products and services,1
638,We have its own division to ensure the health and safety of our products,1
639,Any product causing health damage is immediately expurd,1
640,We have had negative incidents in the supply chain,2
641,The supply chain had no negative impact,1
642,The supply chain is continuously evaluated to secure safe and fair operations,1
643,Equity in the supply chain was a priority,1
644,We prioritize equity in the supply chain,1
645,Our supply chain has created incidents,2
646,We have implemented processes to solve equity problems in the supply chain,1
647,A problem in the supply chain automatically generates a survey,1
648,We have cut suppliers due to the creation of negative social impacts,1
649,We have a strict policy to ensure that the supply chain is just,1
650,A separate committee is loaded the task of investigating the impacts of the supply chain,1
651,We have started to select new suppliers on social criteria,1
652,Suppliers are analyzed under social conditions,1
653,Our partners are examined using social criteria,1
654,"If a partner obtains a bad score on social criteria, we finish the relationship",1
655,Our suppliers are not projected on social criteria,2
656,Our suppliers have received a bad press on social criteria,2
657,We will start to select all suppliers on social criteria,1
658,We have implemented a new screening system on social criteria,1
659,Our operations have no real negative impact on local environments,1
660,We carry out an analysis of all the impacts on local communities in our operations,1
661,We have received negative media coverage due to negative impacts on local communities,2
662,Legal problems due to negative impacts on,2
663,Local community incident,2
664,We have a local community commitment,1
665,Local community commitment is important to us,1
666,For each action that can affect the local communities that we do with an impact assessment,1
667,We actively try to collaborate with the local community,1
668,Hiring of local communities,1
669,No hiring of local communities,2
670,No development program in the local community,2
671,We were in conflict with a local community,2
672,A group of local stakeholders is created in our local communities,1
673,There is no conflict report with indigenous peoples or their property,1
674,We have received a complaint for harassment of indigenous peoples,2
675,Complaints received due to the property of indigenous peoples,2
676,The protest of the rights of the natives has been met,2
677,We have policies to treat indigenous peoples fairly,1
678,We have established procedures to avoid harassing indigenous peoples or their property,1
679,There is no conflict report with indigenous peoples or their property,1
680,We have received a complaint for harassment of indigenous peoples,2
681,Complaints received due to the property of indigenous peoples,2
682,The protest of the rights of the natives has been met,2
683,We have policies to treat indigenous peoples fairly,1
684,We have established procedures to avoid harassing indigenous peoples or their property,1
685,Security staff received official training,1
686,Security personnel received official human rights training,1
687,All third -party security staff must be trained in human rights policies,1
688,Our security staff is up to date on human rights,1
689,Our security staff is trained to treat populations and people equally,1
690,Our security staff is not trained in human rights,2
691,Our suppliers are verified for forced work,1
692,We have no process to check suppliers for forced labor,2
693,We have had episodes abroad of forced work,2
694,We have no forced working policy,1
695,Our suppliers are verified for children's work,1
696,We have no process to check suppliers for children's work,2
697,We had episodes abroad for child labor,2
698,We have a child -free working policy,1
699,No operation or suppliers with limited opportunities for collective negotiations,1
700,All our suppliers are verified for the freedom of association of employees,1
701,Our suppliers go through a Through screening process to ensure that employees can join unions,1
702,Some of our operations and suppliers limit the freedom of association of workers,2
703,We will implement a screening process for the rights of supplier workers,1
704,Suppliers are detected to follow human rights,1
705,No process in place for the screening of worker suppliers freedom of association,2
706,We were involved in problems of legal discrimination,2
707,Increase in incident reports related to discrimination,2
708,Increase in complaints filed due to discrimination,2
709,We have launched audits to investigate complaints,1
710,Each discrimination incident is followed by correction plans,1
711,"Unfortunately, there have been more complaints of discrimination",2
712,Internal management journals completed to remove discrimination,1
713,There is still a certain drawback in the salary between men and women,2
714,We are having an equal salary for equal work,1
715,We have launched an investigation into the reasons why more men than women are in the steering position,1
716,Promotion processes guarantee that minority groups are promoted to the same rate as majority groups,1
717,We focus on the abolition of biases in the hiring and promotion processes,1
718,Our board of directors consists of 50% of men and 50% women,1
719,Our gender ratio increases considerably,1
